dataset,task,model,model_name,metric,metric_name,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units,outcome_name,comparison_family,difference_definition,negative_difference_favours,positive_difference_favours,holm_p_value,cross_task_comparability
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Script,performance_loss_pct,-7.75067722531452,-15.627774209069726,0.2505720956659101,0.058297085145742715,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-RRF,Script,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Typological,performance_loss_pct,-8.032416170582124,-15.849532478725639,-0.847428220265673,0.026298685065746712,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-RRF,Typological,0.8152592370381481,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Wikipedia size,performance_loss_pct,-12.240927165359674,-21.512091659615596,-3.105672348373361,0.009499525023748812,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-RRF,Wikipedia size,0.36098195090245483,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Geographic,performance_loss_pct,2.0245578565524744,-3.89072337745042,7.093573837322289,0.45307734613269335,19,PL (%),All methods within held-out task,method_a minus method_b,Genetic,Geographic,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,LightGBM,performance_loss_pct,3.286248642286181,-2.1345391187275884,8.786072038314845,0.2432878356082196,19,PL (%),All methods within held-out task,method_a minus method_b,Genetic,LightGBM,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,MLP,performance_loss_pct,2.906655216162387,-3.346833550074096,8.551470260865797,0.3263836808159592,19,PL (%),All methods within held-out task,method_a minus method_b,Genetic,MLP,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Script,performance_loss_pct,-8.446715590679775,-19.99863182448008,2.1455869266694254,0.11979401029948503,19,PL (%),All methods within held-out task,method_a minus method_b,Genetic,Script,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Typological,performance_loss_pct,-8.728454535947378,-20.516764088504672,1.9220780631133692,0.11289435528223589,19,PL (%),All methods within held-out task,method_a minus method_b,Genetic,Typological,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Wikipedia size,performance_loss_pct,-12.936965530724928,-23.742547515329196,-3.591188800149246,0.00279986000699965,19,PL (%),All methods within held-out task,method_a minus method_b,Genetic,Wikipedia size,0.12039398030098494,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,LightGBM,performance_loss_pct,1.2616907857337079,-5.4927048141804455,8.03838700471458,0.7238638068096596,19,PL (%),All methods within held-out task,method_a minus method_b,Geographic,LightGBM,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,MLP,performance_loss_pct,0.8820973596099126,-5.945804574935866,7.710577640808734,0.7897605119744012,19,PL (%),All methods within held-out task,method_a minus method_b,Geographic,MLP,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Script,performance_loss_pct,-10.47127344723225,-20.912013631018585,-1.419570952468804,0.021098945052747363,19,PL (%),All methods within held-out task,method_a minus method_b,Geographic,Script,0.7105644717764111,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Typological,performance_loss_pct,-10.753012392499855,-22.85595914549847,1.1191263430797425,0.0791960401979901,19,PL (%),All methods within held-out task,method_a minus method_b,Geographic,Typological,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Wikipedia size,performance_loss_pct,-14.961523387277404,-25.31717650613629,-5.489327427418375,0.0016999150042497876,19,PL (%),All methods within held-out task,method_a minus method_b,Geographic,Wikipedia size,0.07479626018699065,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,MLP,performance_loss_pct,-0.3795934261237948,-5.536336269728603,4.29529594216139,0.9098545072746362,19,PL (%),All methods within held-out task,method_a minus method_b,LightGBM,MLP,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Script,performance_loss_pct,-11.732964232965957,-21.750821118087277,-3.2225978990595627,0.003799810009499525,19,PL (%),All methods within held-out task,method_a minus method_b,LightGBM,Script,0.15579221038948052,scale-free; suitable for cross-task aggregation
