task_lang,transfer_lang,bleu,new_gen,new_typ,new_geo,script,distals_asjp,distals_wiki_size
lit,nld,5.188361372146324,20.595507,0.09889150264870228,0.06971071971954143,0.0,0.47807228754364167,0.898223172582294
slk,nld,4.92553520188283,24.488085,0.15632790305088473,0.05505759801396527,0.0,0.4627023569242712,0.8836291374572042
sme,nld,4.761804994056482,22.517273,0.10823675686713774,0.06363183307372985,0.0,0.4833776894512214,0.9964029235406192
ind,nld,4.695682819486008,23.792166,0.09191642288269242,0.5882316856195194,0.3776,0.49491273675180425,0.6617177849327875
msa,nld,4.55633547659366,25.671883,0.10440819992907602,0.549104016228071,0.658,0.4854561429391445,0.8031908066317655
bre,nld,6.0242505758357545,22.859447,0.08122469308574576,0.04570380947005119,0.2566,0.4639642993213209,0.9593643693259453
por,nld,4.542729049603749,20.920979,0.07080944509343878,0.41641392036795033,0.0,0.48758978021011945,0.4740535314888701
cat,nld,4.385418054294541,19.780703,0.0816254701119633,0.0783753492600027,0.0,0.4665683776012523,0.6444993359313483
spa,nld,4.0475872397999,19.525282,0.09163684293688357,0.3966006163604818,0.0,0.46990599471857114,0.06185396679747768
pan,nld,3.928955157730646,19.74706,0.11258378704056371,0.34261607194679256,0.5722,0.44534664835481896,0.9731291151546929
hun,nld,3.784141193385119,21.496899,0.09236057318797264,0.06379579504848155,0.0,0.48081123778485535,0.7447609580430593
mon,nld,3.7833584337415065,20.294561,0.10876347454493895,0.33224757054041465,0.5253,0.5001461266521154,1.0
arg,nld,3.704788255758263,22.279434,0.09202817641437089,0.06314346027357494,0.0,0.4565571098735357,0.9772332323803333
swe,nld,3.5870881704162247,18.40103,0.05369611505902061,0.07895266229944907,0.1864,0.31090372578887493,0.16020548966244808
khm,nld,3.542071601623055,22.771366,0.10687775961342272,0.4716461242428955,0.6502,0.49234014102668233,0.9946756168009824
slv,nld,3.3952517766434025,20.457272,0.09113500307131162,0.05224369190410038,0.0,0.4570098446257095,0.91122644695507
zho,nld,3.100857784336009,20.510382,0.12150527993994753,0.37820135152611817,0.658,0.4967430133840824,0.3171303313242867
mya,nld,2.99597892286349,22.55767,0.11150791437993612,0.4192638305328094,0.6185,0.4823726766351896,0.9501183853710091
glg,nld,2.9244409752201244,25.456694,0.09131859563728428,0.07960818377937884,0.0,0.4341245384779236,0.8968304035115987
dan,nld,4.411798538062532,17.839035,0.07346055037282184,0.034722888917334424,0.1864,0.3566765726926317,0.858610271353289
oci,nld,6.031129396224881,20.025116,0.07165855944951327,0.05144157659860521,0.0,0.41604136503977845,0.9589592828968868
ita,nld,6.153939973987705,21.057573,0.06924779238861989,0.06770365894560747,0.0,0.4521618802015586,0.11919235779418147
gla,nld,59.76896799737335,22.362932,0.0948190138359194,0.06548118221070848,0.2566,0.4731669269665,0.9927184576493517
nld,nld,31.11280688539868,0.0004472136,2.220446049250313e-16,1.986996351470204e-21,0.0,0.0,0.0
afr,nld,22.49120285940933,14.825356,0.1600690576978685,0.4570652128650538,0.3776,0.0979945691681308,0.942483188913194
tuk,nld,21.24473016390093,21.34154,0.10796617361585692,0.23103942574921413,0.3776,0.49267393603646314,0.9968303124809405
ibo,nld,18.68650967864046,20.840631,0.12043258042584282,0.23929380396017577,0.0,0.49762950124127103,0.9802408853277695
kir,nld,15.243563906296965,23.988081,0.1013595503607303,0.26636361018701843,0.3776,0.47881936994723706,0.965399701965625
deu,nld,13.73868806821548,19.192282,0.04101596525464957,0.031629762254650355,0.0,0.28410855167205507,0.2799646055402162
yor,nld,12.948834401286932,21.596264,0.10706564930757412,0.23901920243129177,0.3776,0.4927096499282203,0.9837146152452685
zul,nld,12.806587942999624,24.009634,0.11934236313838076,0.46054531133901416,0.0,0.4957586138775972,0.9946633276621233
fry,nld,12.632364294081343,18.392782,0.038507776044492625,0.009790821276602807,0.0,0.16854517445854572,0.9736120327965255
lim,nld,11.834018562641557,18.05114,0.15632790305088473,0.011197641949387776,0.0,0.17333822011542116,0.993116716779044
bel,nld,9.778441707887728,21.38626,0.08089584040588993,0.09750557952788041,0.3776,0.4687369336053273,0.9591945971483736
est,nld,9.288151973185627,22.82165,0.08215721131165277,0.08201489114701005,0.658,0.49123954544208254,0.884036499652718
cym,nld,8.953394220632946,21.611187,0.08209602234620483,0.049554217208766856,0.2566,0.46951759581164165,0.8714405874754558
mlt,nld,8.906497661485808,21.977097,0.09432872582371177,0.1394903890597649,0.0,0.4809241567557005,0.9965431107542709
ces,nld,8.407309754288464,20.45585,0.07594454669053963,0.047519022724584005,0.0,0.4694519411356861,0.7373660825229329
dzo,nld,8.13710119173814,23.922182,0.10423067806898989,0.3724946991462993,0.6996,0.4799667363540961,0.9998520751804
kaz,nld,8.122245723370815,22.985506,0.1399239951352459,0.23876432984406568,0.3776,0.5075919522254887,0.8907063159801589
ron,nld,8.121183664510689,20.539633,0.07606172837441583,0.08548665694710594,0.0,0.455655141200555,0.7648882917277711
asm,nld,7.715294066253481,21.605213,0.09255779439919598,0.3555974688255249,0.6185,0.4183486075462506,0.991098567086409
guj,nld,7.261144677050442,19.407753,0.1047173571263128,0.3465014996170739,0.6185,0.4282308611063897,0.9860422691758357
