dataset,task,model,metric,method,method_group,target_resource_level,n_targets,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,large_enough_for_main_ctc
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_distals_wiki_size,individual,mrl,28,24.892857142857142,0.8002952188940091,0.9642857142857143,0.8571428571428571,0.004172425802648393,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_gen,individual,hrl,8,23.0,0.7361391129032258,1.0,0.625,0.0052339331110653,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_gen,individual,lrl,726,23.0,0.718781935928197,0.9173553719008265,0.8650137741046832,0.013932428685887033,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_gen,individual,mrl,28,23.0,0.7394513248847926,0.9642857142857143,0.75,0.007863963496350235,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_geo,individual,hrl,8,31.0,0.9921875,1.0,1.0,0.0,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_geo,individual,lrl,726,31.0,0.968793044077135,0.953168044077135,0.9449035812672176,0.010000462479696335,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_geo,individual,mrl,28,31.0,0.9966517857142857,1.0,1.0,0.0,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_typ,individual,hrl,8,20.625,0.6600302419354839,1.0,0.875,0.001524772950189925,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_typ,individual,lrl,726,20.827823691460054,0.6509014262863236,0.8980716253443526,0.8429752066115702,0.01627141320044134,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_typ,individual,mrl,28,21.357142857142858,0.6866719470046083,0.9285714285714286,0.8214285714285714,0.0054783654928894756,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_script,individual,hrl,8,23.25,0.7444556451612903,1.0,0.875,0.003956225182224725,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_script,individual,lrl,726,23.201101928374655,0.7250622056340531,0.9586776859504132,0.9338842975206612,0.006515554425006203,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_script,individual,mrl,28,23.178571428571427,0.745283698156682,0.9642857142857143,0.8928571428571429,0.008357504446555525,True
