dataset,task,model,metric,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_distals_asjp,single_new_gen,performance_loss_pct,3.369681152312132,-1.5617415687209133,9.629778380470132,0.2349,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_distals_asjp,single_new_geo,performance_loss_pct,5.394239008864607,-2.8274466098610618,13.473675070804767,0.1934,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_distals_asjp,single_new_typ,performance_loss_pct,-5.3587733836352465,-17.057382240250956,5.0110241972143665,0.3433,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_distals_asjp,single_script,performance_loss_pct,-5.077034438367642,-17.70794460753599,7.008252814039157,0.4269,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_distals_wiki_size,single_new_gen,performance_loss_pct,12.936965530724928,3.5911888001492422,23.742547515329196,0.0027,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_distals_wiki_size,single_new_geo,performance_loss_pct,14.961523387277404,5.489327427418359,25.31717650613629,0.0016,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_distals_wiki_size,single_new_typ,performance_loss_pct,4.20851099477755,-5.2085278091124465,13.301898357702836,0.3748,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_distals_wiki_size,single_script,performance_loss_pct,4.490249940045155,-3.696702319881702,12.075617761107992,0.2686,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_new_gen,single_new_geo,performance_loss_pct,2.0245578565524744,-3.89072337745042,7.093573837322289,0.453,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_new_gen,single_new_typ,performance_loss_pct,-8.728454535947378,-20.516764088504672,1.9220780631133692,0.1128,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_new_gen,single_script,performance_loss_pct,-8.446715590679775,-19.99863182448008,2.1455869266694254,0.1197,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_new_geo,single_new_typ,performance_loss_pct,-10.753012392499855,-22.85595914549847,1.1191263430797425,0.0791,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_new_geo,single_script,performance_loss_pct,-10.47127344723225,-20.912013631018585,-1.419570952468804,0.021,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_new_typ,single_script,performance_loss_pct,0.28173894526760523,-8.27281438495975,8.88861147141635,0.9501,19
opus100_mt5,opus100,mt5,bleu,composite_equal,lightgbm_lambdarank,performance_loss_pct,6.831337374000598,2.100582835561285,11.820663524162592,0.006,87
opus100_mt5,opus100,mt5,bleu,composite_equal,mlp_listnet,performance_loss_pct,6.95107695469245,2.8906674853834593,11.534602941964334,0.0004,87
opus100_mt5,opus100,mt5,bleu,composite_equal,rrf_equal,performance_loss_pct,-0.7877445231187289,-5.032310710311481,3.194743965637568,0.7161,87
opus100_mt5,opus100,mt5,bleu,composite_equal,single_distals_asjp,performance_loss_pct,3.080229207659821,-2.1535571023373072,8.510715473698932,0.2544,87
opus100_mt5,opus100,mt5,bleu,composite_equal,single_distals_wiki_size,performance_loss_pct,-38.09357240390477,-45.36706321579055,-30.83000837973775,0.0,87
opus100_mt5,opus100,mt5,bleu,composite_equal,single_new_gen,performance_loss_pct,0.6579649819241619,-5.652802961767297,7.155048643774379,0.8469,87
opus100_mt5,opus100,mt5,bleu,composite_equal,single_new_geo,performance_loss_pct,-4.167794396174205,-10.906027582782011,2.4589235699367475,0.2244,87
opus100_mt5,opus100,mt5,bleu,composite_equal,single_new_typ,performance_loss_pct,-7.683121650280033,-15.299919202446958,-0.14939853762172936,0.0465,87
opus100_mt5,opus100,mt5,bleu,composite_equal,single_script,performance_loss_pct,-13.504779817677106,-21.422701181259523,-5.499413905871051,0.0014,87
opus100_mt5,opus100,mt5,bleu,lightgbm_lambdarank,mlp_listnet,performance_loss_pct,0.11973958069185446,-4.682332457353189,5.05976892832969,0.9618,87
opus100_mt5,opus100,mt5,bleu,lightgbm_lambdarank,rrf_equal,performance_loss_pct,-7.619081897119325,-12.962940394083668,-2.5144137930507378,0.0038,87
opus100_mt5,opus100,mt5,bleu,lightgbm_lambdarank,single_distals_asjp,performance_loss_pct,-3.751108166340775,-8.059081477165524,0.5783358037092394,0.0878,87
opus100_mt5,opus100,mt5,bleu,lightgbm_lambdarank,single_distals_wiki_size,performance_loss_pct,-44.92490977790538,-52.02681385225217,-37.75712644057734,0.0,87
opus100_mt5,opus100,mt5,bleu,lightgbm_lambdarank,single_new_gen,performance_loss_pct,-6.173372392076434,-12.458276866367266,0.1579574168096312,0.0566,87
opus100_mt5,opus100,mt5,bleu,lightgbm_lambdarank,single_new_geo,performance_loss_pct,-10.999131770174802,-17.703543754895588,-4.45895400875575,0.0008,87
opus100_mt5,opus100,mt5,bleu,lightgbm_lambdarank,single_new_typ,performance_loss_pct,-14.514459024280631,-21.29019836383556,-7.847775509881731,0.0,87
opus100_mt5,opus100,mt5,bleu,lightgbm_lambdarank,single_script,performance_loss_pct,-20.336117191677705,-27.524984247575475,-13.10382247740365,0.0,87
opus100_mt5,opus100,mt5,bleu,mlp_listnet,rrf_equal,performance_loss_pct,-7.73882147781118,-12.922504425869729,-3.0016278946825756,0.0006,87
opus100_mt5,opus100,mt5,bleu,mlp_listnet,single_distals_asjp,performance_loss_pct,-3.8708477470326303,-7.9753288580919275,0.23148904121222083,0.0638,87
opus100_mt5,opus100,mt5,bleu,mlp_listnet,single_distals_wiki_size,performance_loss_pct,-45.04464935859723,-51.85908294562482,-38.20378781221902,0.0,87
opus100_mt5,opus100,mt5,bleu,mlp_listnet,single_new_gen,performance_loss_pct,-6.293111972768288,-12.025947412000072,-0.6064096279529877,0.0281,87
opus100_mt5,opus100,mt5,bleu,mlp_listnet,single_new_geo,performance_loss_pct,-11.118871350866655,-17.955919087592186,-4.624340003644013,0.0005,87
opus100_mt5,opus100,mt5,bleu,mlp_listnet,single_new_typ,performance_loss_pct,-14.63419860497248,-21.66240047423918,-7.757774232020779,0.0,87
opus100_mt5,opus100,mt5,bleu,mlp_listnet,single_script,performance_loss_pct,-20.455856772369557,-28.35780561085744,-12.479832378813539,0.0,87
opus100_mt5,opus100,mt5,bleu,rrf_equal,single_distals_asjp,performance_loss_pct,3.86797373077855,-1.9602972603311242,9.895676057808267,0.1961,87
opus100_mt5,opus100,mt5,bleu,rrf_equal,single_distals_wiki_size,performance_loss_pct,-37.30582788078605,-44.16111291002182,-30.537497284533686,0.0,87
opus100_mt5,opus100,mt5,bleu,rrf_equal,single_new_gen,performance_loss_pct,1.4457095050428912,-5.227593834084701,8.360681489972485,0.6873,87
opus100_mt5,opus100,mt5,bleu,rrf_equal,single_new_geo,performance_loss_pct,-3.380049873055475,-10.237964384540664,3.2887803440748926,0.3262,87
opus100_mt5,opus100,mt5,bleu,rrf_equal,single_new_typ,performance_loss_pct,-6.8953771271613045,-13.687858645482589,-0.058683461645271016,0.0479,87
opus100_mt5,opus100,mt5,bleu,rrf_equal,single_script,performance_loss_pct,-12.717035294558382,-19.797488599639053,-5.754257699606984,0.0004,87
opus100_mt5,opus100,mt5,bleu,single_distals_asjp,single_distals_wiki_size,performance_loss_pct,-41.1738016115646,-48.57774703638589,-33.82040495785517,0.0,87
opus100_mt5,opus100,mt5,bleu,single_distals_asjp,single_new_gen,performance_loss_pct,-2.4222642257356597,-8.760078757386582,3.9487321383207274,0.452,87
opus100_mt5,opus100,mt5,bleu,single_distals_asjp,single_new_geo,performance_loss_pct,-7.2480236038340236,-14.33437508609402,-0.454034975374292,0.0356,87
opus100_mt5,opus100,mt5,bleu,single_distals_asjp,single_new_typ,performance_loss_pct,-10.763350857939852,-17.528535219096163,-4.093485576189623,0.0017,87
opus100_mt5,opus100,mt5,bleu,single_distals_asjp,single_script,performance_loss_pct,-16.58500902533693,-24.139755292964335,-8.995960040608344,0.0,87
opus100_mt5,opus100,mt5,bleu,single_distals_wiki_size,single_new_gen,performance_loss_pct,38.75153738582894,31.649558251843224,45.5521033202415,0.0,87
opus100_mt5,opus100,mt5,bleu,single_distals_wiki_size,single_new_geo,performance_loss_pct,33.92577800773058,26.378643412757004,41.54348999003337,0.0,87
opus100_mt5,opus100,mt5,bleu,single_distals_wiki_size,single_new_typ,performance_loss_pct,30.410450753624747,22.9342984391768,38.098879623886525,0.0,87
opus100_mt5,opus100,mt5,bleu,single_distals_wiki_size,single_script,performance_loss_pct,24.58879258622768,17.642848893347946,31.74717548179012,0.0,87
opus100_mt5,opus100,mt5,bleu,single_new_gen,single_new_geo,performance_loss_pct,-4.825759378098366,-13.288076355051256,3.584326402776076,0.2587,87
opus100_mt5,opus100,mt5,bleu,single_new_gen,single_new_typ,performance_loss_pct,-8.341086632204197,-16.58647827746451,-0.044697903521237765,0.0492,87
opus100_mt5,opus100,mt5,bleu,single_new_gen,single_script,performance_loss_pct,-14.162744799601269,-22.19927504652717,-5.952412786572301,0.0006,87
opus100_mt5,opus100,mt5,bleu,single_new_geo,single_new_typ,performance_loss_pct,-3.51532725410583,-11.421305556047107,4.317254894314515,0.3796,87
opus100_mt5,opus100,mt5,bleu,single_new_geo,single_script,performance_loss_pct,-9.336985421502902,-17.14745645726974,-1.3863292930521987,0.0234,87
opus100_mt5,opus100,mt5,bleu,single_new_typ,single_script,performance_loss_pct,-5.821658167397074,-13.898599213567955,2.2463992442928733,0.1582,87
sib200_mt5,sib200,mt5,f1_score,composite_equal,lightgbm_lambdarank,performance_loss_pct,-0.7455278336534468,-4.1917734223819245,2.7261956561217726,0.6644,185
