dataset,task,model,metric,method,method_group,outcome,mean,ci_lower,ci_upper,n_units
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_typ,individual,actual_best_performance_points,26.270499272245285,25.3740258102538,27.202361130952493,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_typ,individual,predicted_performance_points,12.620776730712748,11.838493854599497,13.441905858831449,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_script,individual,performance_loss_pct,49.925314466613194,48.50435536278117,51.35430092218831,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_script,individual,raw_oracle_gap_points,12.185211005505646,11.687357580854687,12.708115969244787,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_script,individual,actual_best_performance_points,26.270499272245285,25.3740258102538,27.202361130952493,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_script,individual,predicted_performance_points,14.085288266739632,13.204310121974212,14.990138818431584,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,always_eng,baseline,performance_loss_pct,44.97134572717842,43.69595847117239,46.21815106365062,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,always_eng,baseline,raw_oracle_gap_points,10.060305847796284,9.729656498632878,10.38698261988909,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,always_eng,baseline,actual_best_performance_points,24.39187000629261,23.427570252993846,25.41281843318574,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,always_eng,baseline,predicted_performance_points,14.331564158496324,13.397786164924366,15.32283074358925,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,composite_equal,composite,performance_loss_pct,29.857930063435266,28.038788220092457,31.68498294952367,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,composite_equal,composite,raw_oracle_gap_points,6.664342057596124,6.221734193729286,7.104394634698705,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,composite_equal,composite,actual_best_performance_points,24.346156297267147,23.38985611182327,25.36848978543795,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,composite_equal,composite,predicted_performance_points,17.68181423967102,16.7297072768284,18.68359461989454,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,lightgbm_lambdarank,trained,performance_loss_pct,9.962382807541601,8.843901733990732,11.132395456009357,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,lightgbm_lambdarank,trained,raw_oracle_gap_points,2.5659240736902653,2.2233609314767735,2.932851025315919,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,lightgbm_lambdarank,trained,actual_best_performance_points,24.346156297267147,23.38985611182327,25.36848978543795,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,lightgbm_lambdarank,trained,predicted_performance_points,21.780232223576878,20.909652762206527,22.6845832622446,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,mlp_listnet,trained,performance_loss_pct,11.700436808838576,10.454331928992218,13.007361085678728,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,mlp_listnet,trained,raw_oracle_gap_points,2.970373025855814,2.6089120013339335,3.354477596652159,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,mlp_listnet,trained,actual_best_performance_points,24.346156297267147,23.38985611182327,25.36848978543795,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,mlp_listnet,trained,predicted_performance_points,21.37578327141133,20.512933696381378,22.27269596813558,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,rrf_equal,composite,performance_loss_pct,33.69518427478594,31.818115911013116,35.54230873221418,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,rrf_equal,composite,raw_oracle_gap_points,7.471161549497917,7.023001435857129,7.924783311480407,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,rrf_equal,composite,actual_best_performance_points,24.346156297267147,23.38985611182327,25.36848978543795,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,rrf_equal,composite,predicted_performance_points,16.87499474776923,15.91504657913351,17.879255590426236,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_distals_asjp,individual,performance_loss_pct,55.04568380436682,53.31406050367034,56.767408410489274,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_distals_asjp,individual,raw_oracle_gap_points,11.842425192965493,11.414981998068297,12.269595507313744,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_distals_asjp,individual,actual_best_performance_points,24.346156297267147,23.38985611182327,25.36848978543795,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_distals_asjp,individual,predicted_performance_points,12.50373110430165,11.490587609232927,13.57368909605178,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_distals_wiki_size,individual,performance_loss_pct,62.12841529258222,60.75722529266486,63.441405004914756,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_distals_wiki_size,individual,raw_oracle_gap_points,13.542727723619619,13.152256004535241,13.940471214814856,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_distals_wiki_size,individual,actual_best_performance_points,24.346156297267147,23.38985611182327,25.36848978543795,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_distals_wiki_size,individual,predicted_performance_points,10.803428573647526,9.8539194961323,11.817422177853485,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_gen,individual,performance_loss_pct,63.08822643773085,61.71516628629443,64.40663082421966,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_gen,individual,raw_oracle_gap_points,13.47413845881007,13.135413178874124,13.806884559421439,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_gen,individual,actual_best_performance_points,24.346156297267147,23.38985611182327,25.36848978543795,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_gen,individual,predicted_performance_points,10.87201783845707,9.867982687080211,11.947021268310834,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_geo,individual,performance_loss_pct,39.149812206981636,37.24020437092417,41.044458387892554,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_geo,individual,raw_oracle_gap_points,8.569470464621217,8.115943173666778,9.027876695546265,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_geo,individual,actual_best_performance_points,24.346156297267147,23.38985611182327,25.36848978543795,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_geo,individual,predicted_performance_points,15.776685832645928,14.78329925739664,16.834999103632512,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_typ,individual,performance_loss_pct,45.97474329023978,43.98365407345906,47.97360610111094,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_typ,individual,raw_oracle_gap_points,9.918774544149585,9.463111947894166,10.38119399522343,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_typ,individual,actual_best_performance_points,24.346156297267147,23.38985611182327,25.36848978543795,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_new_typ,individual,predicted_performance_points,14.427381753117558,13.429977818247496,15.455838055128718,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_script,individual,performance_loss_pct,59.66513964590412,58.17102736097926,61.10677415034899,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_script,individual,raw_oracle_gap_points,12.965694842148244,12.583860845870971,13.35061355283798,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_script,individual,actual_best_performance_points,24.346156297267147,23.38985611182327,25.36848978543795,762
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_script,individual,predicted_performance_points,11.380461455118903,10.408696213097683,12.4335274219496,762
tydiqa_mt5,tydiqa,mt5,f1_score,always_eng,baseline,performance_loss_pct,27.511266102615096,16.039349825883708,40.00450652908334,9
tydiqa_mt5,tydiqa,mt5,f1_score,always_eng,baseline,raw_oracle_gap_points,22.093040420293804,12.861305217533864,32.32829086019045,9
tydiqa_mt5,tydiqa,mt5,f1_score,always_eng,baseline,actual_best_performance_points,79.74084576420339,76.9179270385686,82.38888090393779,9
tydiqa_mt5,tydiqa,mt5,f1_score,always_eng,baseline,predicted_performance_points,57.64780534390958,47.801982538320544,66.6670433132149,9
tydiqa_mt5,tydiqa,mt5,f1_score,composite_equal,composite,performance_loss_pct,10.46643380209982,5.508507082198185,15.377190735422028,9
tydiqa_mt5,tydiqa,mt5,f1_score,composite_equal,composite,raw_oracle_gap_points,6.815604702916499,3.5614511820047374,10.016644935174998,9
tydiqa_mt5,tydiqa,mt5,f1_score,composite_equal,composite,actual_best_performance_points,66.46308900339032,62.550417868317275,70.29102379200062,9
tydiqa_mt5,tydiqa,mt5,f1_score,composite_equal,composite,predicted_performance_points,59.647484300473806,54.15427142045899,65.24602990574782,9
tydiqa_mt5,tydiqa,mt5,f1_score,lightgbm_lambdarank,trained,performance_loss_pct,10.798299922647104,4.206937586430326,18.299567398398512,9
tydiqa_mt5,tydiqa,mt5,f1_score,lightgbm_lambdarank,trained,raw_oracle_gap_points,7.01206507899103,2.7036491139685603,11.984381432449094,9
tydiqa_mt5,tydiqa,mt5,f1_score,lightgbm_lambdarank,trained,actual_best_performance_points,66.46308900339032,62.550417868317275,70.29102379200062,9
tydiqa_mt5,tydiqa,mt5,f1_score,lightgbm_lambdarank,trained,predicted_performance_points,59.45102392439927,52.91658744285098,65.9322956816627,9
tydiqa_mt5,tydiqa,mt5,f1_score,mlp_listnet,trained,performance_loss_pct,15.273027624865392,6.654936332982476,24.67970045853954,9
tydiqa_mt5,tydiqa,mt5,f1_score,mlp_listnet,trained,raw_oracle_gap_points,10.104922878492339,4.232356192813267,16.648888355360384,9
tydiqa_mt5,tydiqa,mt5,f1_score,mlp_listnet,trained,actual_best_performance_points,66.46308900339032,62.550417868317275,70.29102379200062,9
tydiqa_mt5,tydiqa,mt5,f1_score,mlp_listnet,trained,predicted_performance_points,56.35816612489798,49.256734884178584,63.77456848976518,9
