dataset,task,model,model_name,metric,metric_name,method,method_type,outcome,outcome_name,mean,ci_lower,ci_upper,n_units
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Wikipedia size,Individual,performance_loss_pct,PL (%),32.81724109747492,25.003748176769232,41.044793492609784,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Wikipedia size,Individual,raw_oracle_gap_points,Raw gap,20.169523777701137,14.806872228614667,26.041091808655032,74
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,PL (%),54.92991194182242,53.17178786822021,56.673219328394424,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,Raw gap,12.96022810763876,12.49119505935015,13.442105916871268,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,PL (%),33.51978728470491,31.95877438881159,35.098598919594615,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,Raw gap,8.566371132102455,8.003169116468067,9.149244943489844,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,PL (%),34.14330981856273,32.56782532364483,35.73157561814879,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,Raw gap,8.569782028454815,8.037483752595168,9.123691147987534,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,PL (%),58.80127657177012,57.25996068523109,60.34693962542507,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,Raw gap,13.644990017133924,13.206931712823092,14.106633561974343,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,performance_loss_pct,PL (%),44.284130820584245,42.41197330897103,46.12620648032548,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,raw_oracle_gap_points,Raw gap,10.706884265522058,10.170172464679178,11.256708919081705,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,performance_loss_pct,PL (%),18.627763886242224,17.356129906218193,19.91720297894328,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,raw_oracle_gap_points,Raw gap,5.10703796788557,4.642752790334742,5.598098008897457,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,MLP,Trained,performance_loss_pct,PL (%),27.98664662042508,26.52872893130503,29.455641123798475,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,MLP,Trained,raw_oracle_gap_points,Raw gap,7.507730288425084,6.946102632985278,8.088973526179151,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,NNRank,NNRank,performance_loss_pct,PL (%),46.36828126846724,44.88200803840044,47.902132714184496,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,NNRank,NNRank,raw_oracle_gap_points,Raw gap,11.393159748469632,10.87386695342973,11.941495329321482,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Script,Individual,performance_loss_pct,PL (%),49.88148423666656,48.450723841598766,51.30608226908577,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Script,Individual,raw_oracle_gap_points,Raw gap,11.976066841776602,11.49776808448006,12.468834497201378,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Typological,Individual,performance_loss_pct,PL (%),54.74557337166452,53.23626993012949,56.228615254682275,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Typological,Individual,raw_oracle_gap_points,Raw gap,13.63563402721956,13.054973182621385,14.238450790382545,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,performance_loss_pct,PL (%),53.78177679096944,52.42890131501903,55.102937430173476,732
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,raw_oracle_gap_points,Raw gap,12.896420406405962,12.451993229207007,13.345528628686846,732
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,PL (%),55.4327062404861,53.63726439049272,57.205287012519115,732
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,Raw gap,11.681848184204563,11.270448250358045,12.096896195768673,732
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,PL (%),29.495446571175254,27.610211045428592,31.386979961192335,732
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,Raw gap,6.405773533766515,5.975636020840824,6.8365437191445295,732
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,PL (%),33.231336549091345,31.257621876158296,35.17042665641971,732
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,Raw gap,7.1705851213661544,6.720767514130109,7.60548138163098,732
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,PL (%),63.66778785726401,62.27901538477472,64.98804980261897,732
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,Raw gap,13.447780006883223,13.10641911009078,13.784061434799328,732
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Individual,performance_loss_pct,PL (%),39.00225988494709,37.03776807089059,40.935715574206235,732
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Individual,raw_oracle_gap_points,Raw gap,8.349951148763251,7.903540005538967,8.797294125631135,732
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Trained,performance_loss_pct,PL (%),9.761790763657094,8.610292698554586,10.967318075740458,732
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Trained,raw_oracle_gap_points,Raw gap,2.3837319384037303,2.072998668057467,2.7189313675625413,732
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Trained,performance_loss_pct,PL (%),10.821848667824032,9.558477887324955,12.104054460975949,732
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Trained,raw_oracle_gap_points,Raw gap,2.5825497740641206,2.258710621018803,2.92100321318031,732
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,NNRank,NNRank,performance_loss_pct,PL (%),35.93920550668802,33.73341390174437,38.18450150152649,732
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,NNRank,NNRank,raw_oracle_gap_points,Raw gap,7.665446928802105,7.174561710116672,8.163210126388247,732
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Script,Individual,performance_loss_pct,PL (%),60.10346858168415,58.60267821141171,61.57034017733637,732
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Script,Individual,raw_oracle_gap_points,Raw gap,12.864350897003538,12.488598923968793,13.239515831698371,732
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Typological,Individual,performance_loss_pct,PL (%),46.09302421106388,44.07242419920361,48.097127898303654,732
