dataset,task,model,model_name,metric,metric_name,method,method_type,outcome,outcome_name,mean,ci_lower,ci_upper,n_units
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,Raw gap,13.39935125206031,12.888302214201456,13.920952609475734,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,PL (%),34.67913339702634,33.12716516741998,36.23053675632789,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,Raw gap,9.030177033699488,8.456275907315124,9.63486041631181,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,PL (%),35.85514089370435,34.24483447854544,37.4760752495323,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,Raw gap,9.255810746990637,8.690884161794754,9.859504832758187,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,PL (%),58.41161433496209,56.85836347187203,59.921544820530386,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,Raw gap,13.689543294298442,13.243293631297052,14.145599537529389,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,performance_loss_pct,PL (%),48.3084283319098,46.45644355395719,50.13513137657857,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,raw_oracle_gap_points,Raw gap,12.094877187914102,11.482242513326419,12.730797010291495,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,performance_loss_pct,PL (%),18.85499971491026,17.55267942868102,20.155980252195207,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,raw_oracle_gap_points,Raw gap,5.315195445378028,4.803015337835749,5.862544189373463,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,MLP,Trained,performance_loss_pct,PL (%),35.19863418123534,33.551315185688,36.89659728488385,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,MLP,Trained,raw_oracle_gap_points,Raw gap,9.612760951176975,8.93050607723429,10.313319055164445,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Script,Individual,performance_loss_pct,PL (%),49.925314466613194,48.50435536278117,51.35430092218831,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Script,Individual,raw_oracle_gap_points,Raw gap,12.185211005505646,11.687357580854687,12.708115969244787,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Typological,Individual,performance_loss_pct,PL (%),54.29497977052669,52.84480776855669,55.74843667829915,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Typological,Individual,raw_oracle_gap_points,Raw gap,13.649722541532531,13.082789946759695,14.257045739313323,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,performance_loss_pct,PL (%),53.74405972329548,52.37080800785143,55.05147861636896,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,raw_oracle_gap_points,Raw gap,13.042877681970905,12.578323157042647,13.532306873872026,762
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,PL (%),55.04568380436682,53.31406050367034,56.767408410489274,762
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,Raw gap,11.842425192965493,11.414981998068297,12.269595507313744,762
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,PL (%),29.857930063435266,28.038788220092457,31.68498294952367,762
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,Raw gap,6.664342057596124,6.221734193729286,7.104394634698705,762
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,PL (%),33.69518427478594,31.818115911013116,35.54230873221418,762
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,Raw gap,7.471161549497917,7.023001435857129,7.924783311480407,762
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,PL (%),63.08822643773085,61.71516628629443,64.40663082421966,762
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,Raw gap,13.47413845881007,13.135413178874124,13.806884559421439,762
