dataset,task,model,metric,method,method_type,resource,n_targets,trial_complexity,pool_fraction,near_oracle_coverage,exact_best_coverage,best_in_set_pl,large_enough_for_main_ctc
taxi1500_mt5,taxi1500,mT5,F1/LAS,LightGBM,Trained,HRL,7,10.857142857142858,0.37257799671592773,1.0,0.7142857142857143,0.012034994093334556,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,LightGBM,Trained,LRL,701,10.666191155492154,0.3555561021201239,0.9243937232524965,0.8815977175463623,0.01220291112429954,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,LightGBM,Trained,MRL,24,10.625,0.36594827586206896,0.75,0.375,0.028960889424677314,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,MLP,Trained,HRL,7,13.428571428571429,0.4607553366174056,1.0,0.8571428571428571,0.003437457992193786,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,MLP,Trained,LRL,701,13.165477888730384,0.4388689392821421,0.9101283880171184,0.8701854493580599,0.012339067329239414,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,MLP,Trained,MRL,24,13.0,0.4477011494252874,0.875,0.625,0.019184865916614276,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,NNRank,NNRank,HRL,7,28.428571428571427,0.9755336617405584,1.0,1.0,0.0,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,NNRank,NNRank,LRL,701,28.718972895863054,0.9573466476462197,0.9172610556348074,0.8815977175463623,0.012591578492292343,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,NNRank,NNRank,MRL,24,28.625,0.9856800766283526,1.0,1.0,0.0,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Script,Individual,HRL,7,15.857142857142858,0.5440065681444992,1.0,0.8571428571428571,0.005118548927904614,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Script,Individual,LRL,701,15.677603423680457,0.5226097365012216,0.9072753209700428,0.8659058487874465,0.012194580910150047,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Script,Individual,MRL,24,15.375,0.5294061302681993,0.9583333333333334,0.625,0.01276068122668616,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Typological,Individual,HRL,7,25.857142857142858,0.8873563218390804,0.8571428571428571,0.42857142857142855,0.026637017891557473,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Typological,Individual,LRL,701,25.82596291012839,0.8609080623739486,0.912981455064194,0.891583452211127,0.01254580783106438,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Typological,Individual,MRL,24,25.833333333333332,0.8896072796934865,0.9583333333333334,0.8333333333333334,0.0068703806359955745,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Wikipedia size,Individual,HRL,7,28.428571428571427,0.9755336617405584,1.0,1.0,0.0,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Wikipedia size,Individual,LRL,701,28.718972895863054,0.9573466476462197,0.9101283880171184,0.8758915834522111,0.013528138902332305,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Wikipedia size,Individual,MRL,24,28.625,0.9856800766283526,1.0,1.0,0.0,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,ASJP,Individual,HRL,7,27.857142857142858,0.9561576354679804,1.0,1.0,0.0,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,ASJP,Individual,LRL,701,27.935805991440798,0.9312394444717725,0.9229671897289586,0.905848787446505,0.017018086243300447,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,ASJP,Individual,MRL,24,28.0,0.964176245210728,1.0,1.0,0.0,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Composite-Equal,Composite,HRL,7,19.285714285714285,0.6619047619047619,1.0,0.7142857142857143,0.005651118491796244,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Composite-Equal,Composite,LRL,701,19.99857346647646,0.6666535491170249,0.9029957203994294,0.8701854493580599,0.01580900649381914,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Composite-Equal,Composite,MRL,24,20.041666666666668,0.6900862068965518,1.0,0.9166666666666666,0.0002728587562231375,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Composite-RRF,Composite,HRL,7,20.0,0.686535303776683,1.0,0.7142857142857143,0.005651118491796244,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Composite-RRF,Composite,LRL,701,21.36804564907275,0.712305901257645,0.8815977175463623,0.8502139800285307,0.019854218737675716,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Composite-RRF,Composite,MRL,24,21.375,0.7359674329501916,1.0,0.875,0.0022800486905017376,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Genetic,Individual,HRL,7,21.142857142857142,0.725615763546798,1.0,0.5714285714285714,0.005981637841217485,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Genetic,Individual,LRL,701,21.16262482168331,0.7054552609572531,0.9144079885877318,0.8630527817403709,0.014800687459365663,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Genetic,Individual,MRL,24,21.291666666666668,0.7331417624521072,1.0,0.8333333333333334,0.004007014284581992,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Geographic,Individual,HRL,7,27.0,0.9266009852216749,1.0,1.0,0.0,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Geographic,Individual,LRL,701,27.068473609129814,0.9023283650614066,0.8930099857346647,0.8687589158345221,0.022459851856562633,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Geographic,Individual,MRL,24,27.0,0.9297413793103448,1.0,0.9166666666666666,0.0013745013853163207,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,LightGBM,Trained,HRL,7,7.857142857142857,0.2696223316912972,0.8571428571428571,0.2857142857142857,0.02177747540320323,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,LightGBM,Trained,LRL,701,8.161198288159772,0.27205306048830075,0.9300998573466477,0.8944365192582026,0.011358869119845664,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,LightGBM,Trained,MRL,24,8.25,0.283955938697318,0.7916666666666666,0.4166666666666667,0.022709645560599238,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,MLP,Trained,HRL,7,12.0,0.4116584564860427,1.0,0.7142857142857143,0.005651118491796244,True
